provnum,Year,BEDCERT,RESTOT,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,DeficiencyCount,short_stay_poor_quality,short_stay_good_quality,long_stay_poor_quality,long_stay_good_quality,measure_score_qtravg,OWNERSHIP_For profit,OWNERSHIP_Government,OWNERSHIP_Non profit,CERTIFICATION_Medicaid,CERTIFICATION_Medicare,CERTIFICATION_Medicare and Medicaid,Score_High,ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9
15009,2020,57,44.9,5,5,5,5,5,2.73869,0.96561,0.91573,1.88134,4.62003,0,2.1617,0.70657,0.32721,3.19548,2.61545,1.00799,1.08075,4.60948,5.333,0,0,3,3,1,5,9,32.85092817,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15009,2021,57,44.9,5,5,5,5,5,2.73869,0.96561,0.91573,1.88134,4.62003,0,2.1617,0.70657,0.32721,3.19548,2.61545,1.00799,1.08075,4.60948,5.333,0,0,3,3,1,5,9,32.85092817,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15010,2020,85,76.1,4,3,4,5,5,3.04618,0.96901,0.89255,1.86156,4.90774,0.01443,1.99014,0.69526,0.27881,2.96421,3.1599,1.02799,1.23628,5.27858,18.667,0,0,12,3,1,5,9,34.68532761,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15010,2021,85,72.5,4,3,4,5,5,2.69344,0.91942,0.9029,1.82232,4.51576,0.01307,1.96062,0.64918,0.26986,2.87966,2.8251,1.04987,1.27671,4.98569,18.667,0,0,12,3,1,5,9,34.52487567,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15012,2020,50,41,3,2,2,5,5,3.37264,0.63314,1.15569,1.78883,5.16147,0.05686,2.15006,0.7288,0.34471,3.22356,3.23832,0.64077,1.29471,5.10482,30.667,0,0,11,3,1,5,9,35.81742183,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15012,2021,50,41,3,2,2,5,5,3.37264,0.63314,1.15569,1.78883,5.16147,0.05686,2.15006,0.7288,0.34471,3.22356,3.23832,0.64077,1.29471,5.10482,30.667,0,0,11,3,1,5,9,35.81742183,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15014,2020,92,79.6,3,4,1,4,4,2.32558,0.83059,0.59595,1.42654,3.75213,0.00667,1.94321,0.65408,0.28313,2.88042,2.47065,0.93663,0.81286,4.15304,12.667,0,0,9,3,1,5,9,31.47372022,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15014,2021,92,79.6,3,4,1,4,4,2.32558,0.83059,0.59595,1.42654,3.75213,0.00667,1.94321,0.65408,0.28313,2.88042,2.47065,0.93663,0.81286,4.15304,12.667,0,0,9,3,1,5,9,31.47372022,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15023,2020,201,125.9,3,2,4,5,5,2.79948,0.85024,0.91827,1.76851,4.568,0.00484,2.22509,0.63956,0.29442,3.15907,2.59735,0.98054,1.20446,4.61009,26.667,1,0,13,3,1,4,10,34.20198633,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15023,2021,201,102.4,2,1,5,4,5,2.05441,0.86298,1.08339,1.94637,4.00078,0.00552,2.218,0.65981,0.32219,3.19999,1.90478,0.96955,1.28312,3.97494,30.667,2,0,15,3,1,5,9,36.159693,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15024,2020,170,143.5,3,2,5,2,2,2.1996,0.9301,0.36734,1.29745,3.49704,0.01082,2.11086,0.70784,0.30799,3.12669,2.15121,0.96918,0.4606,3.56582,24,0,1,10,3,1,4,10,32.03140878,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15024,2021,170,123.9,2,2,3,3,3,1.98373,0.91287,0.43038,1.34325,3.32698,0.03678,2.15628,0.71057,0.30546,3.17231,1.89189,0.95234,0.53763,3.33434,24,0,1,10,3,1,6,8,34.27811211,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15027,2020,121,105.3,3,3,4,2,1,2.61836,1.04085,0.19447,1.23532,3.85368,0.01837,1.95921,0.62272,0.2757,2.85763,2.75898,1.23284,0.2724,4.29946,17.333,0,0,7,3,1,5,9,30.67251389,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15027,2021,121,106.2,4,3,5,2,2,2.29946,0.93104,0.24774,1.17878,3.47824,0.02979,1.96485,0.63159,0.28197,2.87841,2.40667,1.09273,0.33526,3.84186,17.333,0,0,7,3,1,5,9,30.40916639,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15028,2020,109,71.9,5,4,3,5,5,1.77669,0.82446,0.86157,1.68604,3.46273,0.00837,1.75931,0.6047,0.25724,2.62125,2.08483,1.00563,1.29343,4.21167,13.333,0,1,7,3,1,4,10,27.9481185,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15028,2021,109,62.7,5,4,2,5,5,1.66096,0.83964,0.89118,1.73082,3.39178,0.00914,1.74712,0.61726,0.27864,2.64302,1.95504,1.00835,1.22044,4.08003,10.667,0,1,7,3,1,6,8,23.34658822,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15034,2020,78,68,4,3,3,5,5,2.44618,0.60152,1.03107,1.63259,4.07877,0.00498,2.04639,0.65978,0.28283,2.98901,2.46774,0.67245,1.40782,4.35057,18,0,0,12,3,1,6,8,36.29713872,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15034,2021,78,70.2,5,3,5,4,4,2.31769,0.56745,0.71629,1.28374,3.60142,0.02665,2.01459,0.66947,0.32236,3.00643,2.36585,0.62832,0.84788,3.80854,18,0,0,12,3,1,5,9,35.11028756,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15035,2020,129,113.8,4,4,3,4,3,2.79866,0.94065,0.50975,1.45041,4.24907,0.03411,1.99368,0.63689,0.29333,2.9239,2.89797,1.08937,0.6711,4.63312,14,0,0,5,3,1,5,9,28.90780189,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15035,2021,129,104,4,4,3,4,4,2.81302,1.05666,0.59917,1.65582,4.46884,0.02789,2.03383,0.6348,0.28657,2.95519,2.84431,1.23391,0.79784,4.80778,14,0,0,5,3,1,5,9,31.725357,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15037,2020,105,46.1,4,4,3,4,4,1.91794,0.7514,0.61594,1.36735,3.28528,0.06756,1.82225,0.64719,0.27133,2.74076,2.17283,0.85635,0.87666,3.82159,9.333,0,0,10,2,2,6,8,21.91027744,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15037,2021,105,46.1,4,4,3,4,4,1.91794,0.7514,0.61594,1.36735,3.28528,0.06756,1.82225,0.64719,0.27133,2.74076,2.17283,0.85635,0.87666,3.82159,9.333,0,0,10,2,2,6,8,21.91027744,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15040,2020,138,94.9,1,1,4,3,3,1.43003,0.93063,0.67121,1.60184,3.03188,0.00032,1.91921,0.71227,0.36007,2.99155,1.53824,0.9637,0.71988,3.23116,58.667,0,5,36,3,1,3,11,31.1116245,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15040,2021,138,69.8,2,1,5,3,3,1.8151,0.89953,0.44949,1.34901,3.16411,0,1.82171,0.65263,0.29187,2.76621,2.049,1.02172,0.58765,3.63666,36.667,2,2,22,3,1,3,11,30.78158644,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15042,2020,125,72.1,3,2,3,4,3,3.21697,1.14712,0.52986,1.67697,4.89394,0.00812,2.20729,0.67181,0.32366,3.20276,3.00876,1.25941,0.63221,4.87167,25.333,0,0,8,3,1,4,10,31.04278883,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15042,2021,125,90.7,2,2,3,2,2,2.19849,0.70502,0.38733,1.09234,3.29084,0.01314,2.13106,0.65416,0.31054,3.09575,2.12153,0.79891,0.47595,3.37968,25.333,0,0,8,3,1,6,8,31.79568183,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15045,2020,103,89.9,2,2,3,3,2,2.59183,1.24659,0.31591,1.5625,4.15433,0,1.91865,0.61093,0.24555,2.77513,2.78876,1.50502,0.49683,4.77267,25.333,0,0,12,3,1,3,11,29.88522361,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15045,2021,103,89.9,2,2,3,3,2,2.59183,1.24659,0.31591,1.5625,4.15433,0,1.91865,0.61093,0.24555,2.77513,2.78876,1.50502,0.49683,4.77267,25.333,0,0,12,3,1,3,11,29.88522361,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15047,2020,113,106.1,3,3,3,3,3,2.12636,0.55541,0.46169,1.0171,3.14346,0.04656,1.96722,0.6596,0.30104,2.92786,2.23143,0.62107,0.59227,3.42296,22.667,0,0,13,3,1,5,9,32.93732067,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15047,2021,113,101.7,3,3,3,2,2,2.17927,0.80812,0.36349,1.17161,3.35088,0.05589,1.76903,0.64993,0.29127,2.71024,2.53334,0.92171,0.47619,3.93084,22.667,0,0,13,3,1,5,9,33.37704817,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15048,2020,95,79,4,3,4,4,4,2.49965,0.79248,0.57574,1.36822,3.86787,0.00623,1.83215,0.65197,0.30356,2.78768,2.81655,0.89654,0.73244,4.42357,22,0,1,17,3,1,5,9,33.47395422,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15048,2021,95,79,4,3,4,4,4,2.49965,0.79248,0.57574,1.36822,3.86787,0.00623,1.83215,0.65197,0.30356,2.78768,2.81655,0.89654,0.73244,4.42357,22,0,1,17,3,1,5,9,33.47395422,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15049,2020,117,73.2,4,4,4,4,4,1.91807,0.93071,0.69433,1.62504,3.5431,0.03823,1.98811,0.64709,0.28544,2.92065,1.99169,1.06085,0.93937,3.86766,8.667,0,0,6,3,1,4,10,33.10863456,0,0,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15049,2021,117,73.1,3,3,2,3,4,1.72209,0.51142,1.04865,1.56007,3.28216,0.08144,1.94343,0.71526,0.39323,3.05191,1.82225,0.53003,1.0176,3.41918,16.667,0,0,8,3,1,5,9,28.58125111,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15050,2020,79,71.3,5,5,2,3,3,1.68365,0.83707,0.55639,1.39346,3.07711,0.01278,1.93389,0.64123,0.34169,2.9168,1.7973,0.96285,0.62883,3.3634,4.667,0,0,4,3,1,6,8,27.9100715,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15050,2021,79,62.4,2,2,4,2,2,1.89073,0.97502,0.38307,1.35809,3.24882,0.02689,1.89165,0.664,0.33362,2.88927,2.05546,1.0885,0.43815,3.57497,26.667,0,2,7,3,1,5,9,27.57073667,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15053,2020,82,73.3,5,5,4,4,4,2.43325,1.34868,0.65314,2.00182,4.43508,0.0387,1.93668,0.62352,0.27758,2.83777,2.59376,1.59539,0.90868,4.98272,2.667,2,0,2,3,1,5,9,31.22993633,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15053,2021,82,61.8,5,4,5,4,4,2.43542,1.33897,0.81596,2.15493,4.59035,0.04216,2.08459,0.65659,0.35183,3.09301,2.40256,1.51168,0.88498,4.71846,8.667,2,2,4,2,2,5,9,29.32094988,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15063,2020,100,94,5,4,5,3,4,1.80477,0.67114,0.79254,1.46368,3.26845,0,1.96777,0.69562,0.32636,2.98975,1.89342,0.71162,0.9378,3.48538,14.667,0,0,8,3,1,4,10,32.31806372,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15063,2021,100,96.7,5,3,5,4,4,1.78341,0.65722,0.72873,1.38595,3.16936,0.0534,1.76784,0.66848,0.32776,2.76408,2.07457,0.72879,0.84842,3.6455,16.667,0,0,9,3,1,5,9,33.4703565,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15065,2020,162,119.8,2,1,2,4,4,2.8901,1.05276,0.60433,1.6571,4.5472,0.03342,2.0041,0.65495,0.28542,2.94447,2.9771,1.18558,0.81768,4.92357,34.667,0,3,21,3,1,5,9,31.40812722,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15065,2021,162,118.3,2,1,4,4,4,2.38075,0.95578,0.62044,1.57622,3.95697,0.04465,2.00794,0.68189,0.29934,2.98917,2.43827,1.03903,0.79091,4.20869,39.333,0,4,25,3,1,6,8,33.02094006,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
15066,2020,63,48.9,5,4,4,5,5,2.25564,1.10111,0.92928,2.03039,4.28603,0.01431,2.00899,0.65487,0.2691,2.93295,2.31789,1.24018,1.3336,4.65901,8,0,0,8,3,1,4,10,34.969988,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15066,2021,63,51.1,5,5,4,4,5,1.87782,0.6767,1.06089,1.73759,3.61541,0.05265,1.94974,0.71402,0.34308,3.00685,1.98059,0.70254,1.17995,3.8228,2.667,0,0,4,3,1,4,10,34.79759372,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
15067,2020,103,77.4,4,4,2,4,5,1.99287,0.5441,0.93377,1.47786,3.47074,0.03468,1.89182,0.6609,0.29051,2.84324,2.16631,0.61027,1.22649,3.881,8,0,1,5,3,1,6,8,29.4467415,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0
